index,id,text,ref_audio,ref_text,ref_text_source,instruct,output_path,elapsed_s,duration_s,rtf
1,0001_speaker,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0001_0001_speaker.wav,1.82,3.96,0.4595
2,0002_speaker,今天这群不叫聊天群。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0002_0002_speaker.wav,1.278,2.24,0.5706
3,0003_speaker,那叫什么？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0003_0003_speaker.wav,1.077,0.705,1.5288
4,0004_speaker,叫羊毛批发市场，顺便卖点人生苦难。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0004_0004_speaker.wav,1.599,3.24,0.4936
5,0005_speaker,先说第一案，薅羊毛大战。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0005_0005_speaker.wav,1.196,2.28,0.5247
6,0006_speaker,这个我熟，日抛号，周抛号，共享额度，反重力废了改 Codex。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0006_0006_speaker.wav,1.986,4.56,0.4355
7,0007_speaker,还有人双开 Codex。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0007_0007_speaker.wav,1.094,1.8,0.608
8,0008_speaker,好家伙，别人双开游戏，他双开牛马。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0008_0008_speaker.wav,1.744,3.08,0.5661
9,0009_speaker,叶总深夜总结，牛马都是跟着羊毛走的。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0009_0009_speaker.wav,1.588,3.062,0.5188
10,0010_speaker,这话扎心了。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0010_0010_speaker.wav,1.396,2.24,0.6231
11,0011_speaker,更扎心的是，被 AI 训练成只睡五小时。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0011_0011_speaker.wav,1.481,3.32,0.4462
12,0012_speaker,以前熬夜是为了爱情，现在熬夜是为了额度刷新。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0012_0012_speaker.wav,1.883,4.2,0.4483
13,0013_speaker,第二案，土狗道人的血泪创业史。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0013_0013_speaker.wav,1.428,2.96,0.4824
14,0014_speaker,听名字就像开局一条狗，装备全靠封。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0014_0014_speaker.wav,1.727,3.24,0.5329
15,0015_speaker,他本来想卖 Plus 号，大干一场。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0015_0015_speaker.wav,1.418,2.512,0.5643
16,0016_speaker,然后呢？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0016_0016_speaker.wav,1.41,2.24,0.6293
17,0017_speaker,闲鱼光速封号。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0017_0017_speaker.wav,1.133,1.8,0.6292
18,0018_speaker,这不叫创业，这叫平台给你做法事。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0018_0018_speaker.wav,1.668,3.04,0.5486
19,0019_speaker,更离谱的是，他还被小红书忽悠去了西藏。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0019_0019_speaker.wav,1.683,3.64,0.4625
20,0020_speaker,说走就走？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0020_0020_speaker.wav,1.473,2.24,0.6577
21,0021_speaker,说疼就疼。肾结石加高反，直接飞回。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0021_0021_speaker.wav,1.554,3.2,0.4856
22,0022_speaker,别人去西藏净化心灵，他去西藏净化肾结石。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0022_0022_speaker.wav,1.802,3.84,0.4693
23,0023_speaker,回来一句，小红书最多看看擦边。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0023_0023_speaker.wav,1.455,2.64,0.5512
24,0024_speaker,总结到位，医学和互联网双重祛魅。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0024_0024_speaker.wav,1.699,3.04,0.5587
25,0025_speaker,第三案，神仙打架。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0025_0025_speaker.wav,1.2,1.8,0.6664
26,0026_speaker,什么神仙？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0026_0026_speaker.wav,1.497,2.24,0.6684
27,0027_speaker,有人逆向 DeepSeek 安卓包，一块钱搞定。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0027_0027_speaker.wav,1.565,3.32,0.4715
28,0028_speaker,一块钱？这叫技术吗？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0028_0028_speaker.wav,1.434,2.24,0.6402
29,0029_speaker,这叫把奥特曼手撸成拼多多版本。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0029_0029_speaker.wav,1.585,3.12,0.5081
30,0030_speaker,然后群里又开始喷拼车二十倍 Pro。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0030_0030_speaker.wav,1.717,3.0,0.5722
31,0031_speaker,说不是独立额度，跟正价有啥区别。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0031_0031_speaker.wav,1.621,3.16,0.5129
32,0032_speaker,拼车拼到最后，发现司机也是乘客。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0032_0032_speaker.wav,1.787,3.04,0.5879
33,0033_speaker,叶总还插播越南妹实战指南。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0033_0033_speaker.wav,1.457,2.68,0.5436
34,0034_speaker,技术群突然变情感夜校。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0034_0034_speaker.wav,1.47,2.24,0.6561
35,0035_speaker,有人说印尼妹周抛，越南妹更香。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0035_0035_speaker.wav,1.538,2.96,0.5195
36,0036_speaker,好家伙，API 有日抛，恋爱也开始按套餐计费了。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0036_0036_speaker.wav,1.905,3.88,0.4911
37,0037_speaker,第四案，赛博语录。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0037_0037_speaker.wav,1.345,1.617,0.8317
38,0038_speaker,张赛博又来了？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0038_0038_speaker.wav,1.503,2.24,0.6711
39,0039_speaker,群友问他，是不是又被甩了。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0039_0039_speaker.wav,1.503,2.52,0.5965
40,0040_speaker,这不是问候，这是连续剧前情提要。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0040_0040_speaker.wav,1.789,3.04,0.5884
41,0041_speaker,刘总高调宣言，无人扶我青云志，争做修仙群最骚。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0041_0041_speaker.wav,1.961,4.2,0.4669
42,0042_speaker,这志向，一听就没打算上岸。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0042_0042_speaker.wav,1.641,2.4,0.6839
43,0043_speaker,群友补刀，穷得只剩妹子了。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0043_0043_speaker.wav,1.612,2.438,0.6612
44,0044_speaker,我第一次听见有人把破产说得像后宫番。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0044_0044_speaker.wav,1.979,3.64,0.5438
45,0045_speaker,第五案，模型消息轰炸。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0045_0045_speaker.wav,1.348,2.068,0.652
46,0046_speaker,这群模型党一天不刷模型名就浑身难受。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0046_0046_speaker.wav,1.991,3.64,0.5469
47,0047_speaker,Flux3 还没来，ZImage 已经被抛弃。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0047_0047_speaker.wav,1.582,2.88,0.5492
48,0048_speaker,模型迭代太快，昨天是白月光，今天是压缩包。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0048_0048_speaker.wav,2.173,3.88,0.5602
49,0049_speaker,有人说 ZImage 有 SigLIP。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0049_0049_speaker.wav,1.382,1.88,0.7349
50,0050_speaker,有也没用，群友移情别恋从来不看内在。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0050_0050_speaker.wav,2.012,3.44,0.5848
51,0051_speaker,最后一句神评，过期的模型不要扔，开一开源，隔壁小孩馋哭了。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0051_0051_speaker.wav,2.213,5.08,0.4356
52,0052_speaker,这不叫开源，这叫 AI 界剩菜盲盒。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0052_0052_speaker.wav,1.867,2.8,0.6667
53,0053_speaker,今日龙王榜也很精彩。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0053_0053_speaker.wav,1.563,1.51,1.0352
54,0054_speaker,第一名红领少年小修士，六十六条，专注水群卖号和哥哥真好。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0054_0054_speaker.wav,2.508,5.04,0.4976
55,0055_speaker,第二名土狗道人，六十三条，创业未半，闲鱼先崩。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0055_0055_speaker.wav,2.036,4.08,0.499
56,0056_speaker,第三名晗萧，五十三条，模型研究狂，问题比参数还多。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0056_0056_speaker.wav,2.601,4.4,0.5911
57,0057_speaker,第四名叶总，四十八条，从越南撩妹到 Codex 羊毛，全栈散修。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0057_0057_speaker.wav,2.473,4.72,0.524
58,0058_speaker,第五名二舟，四十五条，负责精准吐槽，专治群友膨胀。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0058_0058_speaker.wav,2.265,4.4,0.5148
59,0059_speaker,总结一下，今天这个群，从薅羊毛到撩妹，从逆向到住院。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0059_0059_speaker.wav,2.264,4.6,0.4922
60,0060_speaker,听着像技术交流。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0060_0060_speaker.wav,1.64,2.24,0.7323
61,0061_speaker,实际上呢？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0061_0061_speaker.wav,1.356,1.064,1.2748
62,0062_speaker,AI 界吐槽大会，加荒野求生，加情感调解，再加肾内科会诊。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0062_0062_speaker.wav,2.689,4.72,0.5696
63,0063_speaker,一句话，修仙群没有神仙。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0526_crosstalk_1868611-1871268.wav,您再解释解释，也是咱俩的事儿。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0063_0063_speaker.wav,1.503,2.28,0.6591
64,0064_speaker,全是熬夜抢额度的赛博散修。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0527_crosstalk_1871268-1874633.wav,拿咱俩举例子，这时候您就不是有钱人了。,explicit,,/Users/vanch/tts_benchmarks/20260514_64row_compare/omnivoice/0064_0064_speaker.wav,1.854,2.6,0.7132
