index,id,speaker,text,ref_audio,emotion_ref_audio,emotion,emo_alpha,output_path,model,version,duration_s,elapsed_s,rtf,emotion_source,emotion_json,dominant_emotion,qwen_elapsed_s,qwen_raw_text,output_wav,backend,model_dir,quantization,max_len
1,0001_speaker,逗哏,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.55,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0001_0001_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.1600,2.5051,0.6022,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0001_0001_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,36
2,0002_speaker,捧哏,今天这群不叫聊天群。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,,0.58,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0002_0002_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,1.4400,0.3640,0.2528,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0002_0002_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
3,0003_speaker,逗哏,那叫什么？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0411_crosstalk_1496417-1497956.wav,,0.7,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0003_0003_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,0.4800,0.1951,0.4064,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0003_0003_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
4,0004_speaker,捧哏,叫羊毛批发市场，顺便卖点人生苦难。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.74,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0004_0004_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.1600,0.8848,0.2127,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0004_0004_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,27
5,0005_speaker,逗哏,先说第一案，薅羊毛大战。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.56,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0005_0005_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.5600,0.6042,0.2360,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0005_0005_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
6,0006_speaker,捧哏,这个我熟，日抛号，周抛号，共享额度，反重力废了改 Codex。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.72,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0006_0006_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,5.7600,1.2121,0.2104,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0006_0006_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,45
7,0007_speaker,逗哏,还有人双开 Codex。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0411_crosstalk_1496417-1497956.wav,,0.76,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0007_0007_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.2400,0.5459,0.2437,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0007_0007_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
8,0008_speaker,捧哏,好家伙，别人双开游戏，他双开牛马。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0325_crosstalk_1178247-1185150.wav,,0.64,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0008_0008_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.2000,0.6993,0.2185,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0008_0008_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,25
9,0009_speaker,逗哏,叶总深夜总结，牛马都是跟着羊毛走的。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0075_crosstalk_0230717-0236108.wav,,0.72,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0009_0009_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.3600,0.7620,0.2268,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0009_0009_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,29
10,0010_speaker,捧哏,这话扎心了。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0512_crosstalk_1813956-1816924.wav,,0.62,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0010_0010_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,1.9200,0.4481,0.2334,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0010_0010_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
11,0011_speaker,逗哏,更扎心的是，被 AI 训练成只睡五小时。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0512_crosstalk_1813956-1816924.wav,,0.66,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0011_0011_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.5200,0.7950,0.2258,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0011_0011_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,29
12,0012_speaker,捧哏,以前熬夜是为了爱情，现在熬夜是为了额度刷新。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.72,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0012_0012_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.1600,0.8936,0.2148,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0012_0012_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,36
13,0013_speaker,逗哏,第二案，土狗道人的血泪创业史。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.56,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0013_0013_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.8400,0.8596,0.2239,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0013_0013_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
14,0014_speaker,捧哏,听名字就像开局一条狗，装备全靠封。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.75,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0014_0014_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.6800,0.7941,0.2158,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0014_0014_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,27
15,0015_speaker,逗哏,他本来想卖 Plus 号，大干一场。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.58,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0015_0015_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.4000,0.5811,0.2421,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0015_0015_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,25
16,0016_speaker,捧哏,然后呢？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0324_crosstalk_1174530-1178247.wav,,0.68,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0016_0016_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,0.8000,0.2294,0.2867,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0016_0016_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
17,0017_speaker,逗哏,闲鱼光速封号。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0289_crosstalk_1020549-1022581.wav,,0.78,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0017_0017_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,1.2800,0.3616,0.2825,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0017_0017_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
18,0018_speaker,捧哏,这不叫创业，这叫平台给你做法事。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0325_crosstalk_1178247-1185150.wav,,0.7,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0018_0018_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.0000,0.8498,0.2124,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0018_0018_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,25
19,0019_speaker,逗哏,更离谱的是，他还被小红书忽悠去了西藏。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0411_crosstalk_1496417-1497956.wav,,0.72,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0019_0019_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.6800,0.8290,0.2253,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0019_0019_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,31
20,0020_speaker,捧哏,说走就走？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0324_crosstalk_1174530-1178247.wav,,0.68,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0020_0020_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,1.1200,0.2962,0.2645,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0020_0020_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
21,0021_speaker,逗哏,说疼就疼。肾结石加高反，直接飞回。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0512_crosstalk_1813956-1816924.wav,,0.7,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0021_0021_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.5200,0.8062,0.2290,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0021_0021_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,25
22,0022_speaker,捧哏,别人去西藏净化心灵，他去西藏净化肾结石。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.78,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0022_0022_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.1600,0.8958,0.2153,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0022_0022_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,32
23,0023_speaker,逗哏,回来一句，小红书最多看看擦边。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0289_crosstalk_1020549-1022581.wav,,0.74,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0023_0023_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.8400,0.8798,0.2291,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0023_0023_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
24,0024_speaker,捧哏,总结到位，医学和互联网双重祛魅。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0077_crosstalk_0237975-0240670.wav,,0.76,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0024_0024_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,4.0000,0.8457,0.2114,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0024_0024_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,25
25,0025_speaker,逗哏,第三案，神仙打架。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.56,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0025_0025_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.2400,0.5491,0.2451,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0025_0025_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
26,0026_speaker,捧哏,什么神仙？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0324_crosstalk_1174530-1178247.wav,,0.68,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0026_0026_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,0.8000,0.2242,0.2802,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0026_0026_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
27,0027_speaker,逗哏,有人逆向 DeepSeek 安卓包，一块钱搞定。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,,0.6,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0027_0027_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.3600,0.7965,0.2371,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0027_0027_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,36
28,0028_speaker,捧哏,一块钱？这叫技术吗？,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0324_crosstalk_1174530-1178247.wav,,0.76,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0028_0028_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.0800,0.4906,0.2359,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0028_0028_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,24
29,0029_speaker,逗哏,这叫把奥特曼手撸成拼多多版本。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0075_crosstalk_0230717-0236108.wav,,0.75,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0029_0029_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,2.7200,0.6398,0.2352,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0029_0029_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,25
30,0030_speaker,捧哏,然后群里又开始喷拼车二十倍 Pro。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0071_crosstalk_0215374-0217032.wav,,0.58,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0030_0030_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.0400,0.6657,0.2190,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0030_0030_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,29
31,0031_speaker,逗哏,说不是独立额度，跟正价有啥区别。,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0222_crosstalk_0783190-0786560.wav,/Users/vanch/mlx-indextts2/outputs/fjymb_library_final/work/clips/0289_crosstalk_1020549-1022581.wav,,0.76,outputs/groupchat_crosstalk_20260509_scene_ref/audio/0031_0031_speaker.wav,models/mlx-indexTTS2-standard-8bit,2.0,3.5200,0.7967,0.2263,reference,,,,,/Users/vanch/tts_benchmarks/mlx_four_backend_full64_cleanrefs_20260516/voxcpm2/segments/0031_0031_speaker.wav,native,models/VoxCPM2-official-mlx-int8-components,mlx-int8-linear,25
