backend,id,output_wav,expected_text,ref_text,asr_text,content_score,leakage_score,content_pass,leakage_pass
indextts,0001_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/indextts/0001_0001_speaker.wav,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,,各位观众欢迎收听今日AI修宪群虾BB报告,0.8000,0.0000,False,True
indextts,0002_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/indextts/0002_0002_speaker.wav,今天这群不叫聊天群。,,今天这群不叫聊天群,1.0000,0.0000,True,True
indextts,0003_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/indextts/0003_0003_speaker.wav,那叫什么？,,那叫什么,1.0000,0.0000,True,True
indextts,0004_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/indextts/0004_0004_speaker.wav,叫羊毛批发市场，顺便卖点人生苦难。,,这羊毛批发市场顺便卖点人生苦难,0.9333,0.0000,True,True
indextts,0005_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/indextts/0005_0005_speaker.wav,先说第一案，薅羊毛大战。,,先说第一案豪羊毛大战,0.9000,0.0000,True,True
indextts,0006_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/indextts/0006_0006_speaker.wav,这个我熟，日抛号，周抛号，共享额度，反重力废了改 Codex。,,这个我熟日抛号周抛号共享额度反重力废了改Codex,1.0000,0.0000,True,True
indextts,0007_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/indextts/0007_0007_speaker.wav,还有人双开 Codex。,,还有人双开Codex,1.0000,0.0000,True,True
indextts,0008_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/indextts/0008_0008_speaker.wav,好家伙，别人双开游戏，他双开牛马。,,好家伙别人双开游戏他双开牛马,1.0000,0.0000,True,True
voxcpm2,0001_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/voxcpm2/segments/0001_0001_speaker.wav,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,对门又开了一家金海岸啊，咱们怎么办？,各位观众欢迎收听今日AI修仙群瞎BB报告,0.9000,0.0000,True,True
voxcpm2,0002_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/voxcpm2/segments/0002_0002_speaker.wav,今天这群不叫聊天群。,我跟于谦是初恋。,今天这群不叫聊天群,1.0000,0.0000,True,True
voxcpm2,0003_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/voxcpm2/segments/0003_0003_speaker.wav,那叫什么？,对门又开了一家金海岸啊，咱们怎么办？,那叫什么,1.0000,0.1000,True,True
voxcpm2,0004_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/voxcpm2/segments/0004_0004_speaker.wav,叫羊毛批发市场，顺便卖点人生苦难。,我跟于谦是初恋。,羊毛批发市场顺便卖点人生苦难,0.9655,0.0000,True,True
voxcpm2,0005_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/voxcpm2/segments/0005_0005_speaker.wav,先说第一案，薅羊毛大战。,对门又开了一家金海岸啊，咱们怎么办？,先说第一案豪羊毛打战,0.8000,0.0769,False,True
voxcpm2,0006_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/voxcpm2/segments/0006_0006_speaker.wav,这个我熟，日抛号，周抛号，共享额度，反重力废了改 Codex。,我跟于谦是初恋。,这个我熟啊日泡号周泡号共享额度反重力费了改Codex,0.8627,0.0606,True,True
voxcpm2,0007_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/voxcpm2/segments/0007_0007_speaker.wav,还有人双开 Codex。,对门又开了一家金海岸啊，咱们怎么办？,还有人双开Codex,1.0000,0.0769,True,True
voxcpm2,0008_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/voxcpm2/segments/0008_0008_speaker.wav,好家伙，别人双开游戏，他双开牛马。,我跟于谦是初恋。,好家伙别人双开游戏他双开牛马,1.0000,0.0000,True,True
qwen_tts,0001_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/qwen_tts/segments/0001_0001_speaker.wav,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,对门又开了一家金海岸啊，咱们怎么办？,对门又对门对门问班又归归呀归,0.0000,0.2000,False,True
qwen_tts,0002_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/qwen_tts/segments/0002_0002_speaker.wav,今天这群不叫聊天群。,我跟于谦是初恋。,今天这群不叫聊天群,1.0000,0.0000,True,True
qwen_tts,0003_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/qwen_tts/segments/0003_0003_speaker.wav,那叫什么？,对门又开了一家金海岸啊，咱们怎么办？,对门又开柜门 右门对门内门,0.0000,0.2857,False,True
qwen_tts,0004_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/qwen_tts/segments/0004_0004_speaker.wav,叫羊毛批发市场，顺便卖点人生苦难。,我跟于谦是初恋。,叫羊毛批发市场顺便卖点人生苦,0.9655,0.0000,True,True
qwen_tts,0005_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/qwen_tts/segments/0005_0005_speaker.wav,先说第一案，薅羊毛大战。,对门又开了一家金海岸啊，咱们怎么办？,对门对门右对门门门门门门,0.0000,0.1429,False,True
qwen_tts,0006_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/qwen_tts/segments/0006_0006_speaker.wav,这个我熟，日抛号，周抛号，共享额度，反重力废了改 Codex。,我跟于谦是初恋。,这个我熟日抛号周抛号共享额度反重力废了改Codex,1.0000,0.0625,True,True
qwen_tts,0007_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/qwen_tts/segments/0007_0007_speaker.wav,还有人双开 Codex。,对门又开了一家金海岸啊，咱们怎么办？,对门又开了又对门又,0.1053,0.4000,False,True
qwen_tts,0008_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/qwen_tts/segments/0008_0008_speaker.wav,好家伙，别人双开游戏，他双开牛马。,我跟于谦是初恋。,好家伙别人双开游戏他双开牛马,1.0000,0.0000,True,True
omnivoice,0001_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/omnivoice/0001_0001_speaker.wav,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,对门又开了一家金海岸啊，咱们怎么办？,观众欢迎收听今日AI修仙群虾BB报告,0.7895,0.0000,False,True
omnivoice,0002_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/omnivoice/0002_0002_speaker.wav,今天这群不叫聊天群。,我跟于谦是初恋。,今天这群不叫聊天群,1.0000,0.0000,True,True
omnivoice,0003_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/omnivoice/0003_0003_speaker.wav,那叫什么？,对门又开了一家金海岸啊，咱们怎么办？,都是闷那叫什么,0.7273,0.0870,False,True
omnivoice,0004_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/omnivoice/0004_0004_speaker.wav,叫羊毛批发市场，顺便卖点人生苦难。,我跟于谦是初恋。,叫羊毛批发市场顺便卖点人生苦难,1.0000,0.0000,True,True
omnivoice,0005_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/omnivoice/0005_0005_speaker.wav,先说第一案，薅羊毛大战。,对门又开了一家金海岸啊，咱们怎么办？,先说第一案豪羊毛大战,0.9000,0.0769,True,True
omnivoice,0006_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/omnivoice/0006_0006_speaker.wav,这个我熟，日抛号，周抛号，共享额度，反重力废了改 Codex。,我跟于谦是初恋。,这个我熟日抛号周抛号共享额度反重立费了改codex,0.9200,0.0625,True,True
omnivoice,0007_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/omnivoice/0007_0007_speaker.wav,还有人双开 Codex。,对门又开了一家金海岸啊，咱们怎么办？,还有人双开Codex,1.0000,0.0769,True,True
omnivoice,0008_speaker,/Users/vanch/tts_benchmarks/mlx_four_backend_m3max_profile_pilot8_20260515/omnivoice/0008_0008_speaker.wav,好家伙，别人双开游戏，他双开牛马。,我跟于谦是初恋。,好家伙别人双开游戏他双开牛马,1.0000,0.0000,True,True
