project_id,artifact_id,model_ids,source_type,source_url,capability_count,capabilities,language_count,languages,control_channel,reference_requirement,adapter_params,negative_boundary,confidence,last_verified_at
mlx_indextts2,standard_8bit,mlx_indextts2_standard_8bit,demo,https://index-tts.github.io/index-tts2.github.io/,5,basic_tts;voice_clone;cross_lingual_clone;emotion_control;duration_control,2,zh;en,"{""clone"": ""--prompt-audio"", ""duration"": ""--target-duration"", ""emotion"": ""--emotion""}",clone/control-by-reference cases require clean single-speaker prompt audio and transcript when scoring SIM/content.,mlx-indextts generate with profile standard; use model-native emotion/duration flags.,vietnamese_standard_model,high,2026-06-22
mlx_indextts2,vietnamese_8bit,mlx_indextts2_vietnamese_8bit,local_docs,reports/model_capability_deep_research_20260613_zh.md,1,vietnamese_voice_clone,1,vi,"{""clone"": ""--prompt-audio"", ""profile"": ""vietnamese""}",Vietnamese clone requires Vietnamese reference audio.,mlx-indextts generate --model models/mlx-indexTTS2-vietnamese-8bit --profile vietnamese.,general_multilingual;emotion_control,medium,2026-06-22
mlx_voxcpm2,bf16_dit,mlx_voxcpm2_bf16_dit,demo,https://openbmb.github.io/voxcpm2-demopage/,9,basic_tts;multilingual;dialect;voice_clone;cross_lingual_clone;voice_design;style_transfer;emotion_control;singing_style,20,zh;en;ja;ko;es;fr;de;vi;id;hi;ar;yue;zh_sichuan;zh_dongbei;zh_henan;zh_minnan;zh_shanghai;zh_shaanxi;zh_shandong;zh_tianjin,"{""clone"": ""--prompt-audio"", ""dialect"": ""--control <official dialect tag>"", ""song"": ""Song: prompt prefix"", ""style"": ""--control""}",Cloning and style transfer need source-matched reference audio; dialect reading uses official control tags.,"Use 10 denoise steps, normalize, retry-badcase, BF16 DiT decoder path.",do_not_use_prose_dialect_prompt,high,2026-06-22
mlx_qwen3_tts,base_official_int8,mlx_qwen3_tts_official_int8,model_card,https://qwen.ai/blog?id=qwen3tts-0115,4,basic_tts;voice_clone;dialect_clone;multilingual,10,zh;en;ja;ko;de;fr;ru;pt;es;it,"{""clone"": ""3-second prompt audio"", ""dialect_clone"": ""reference-driven prompt audio""}",Base clone requires short reference audio; no Vietnamese formal clone in official language list.,Use official Base model; keep spoken text separate from prompt/reference controls.,vietnamese;native_emotion_parameter,high,2026-06-22
mlx_qwen3_tts,voice_design_official_int8,mlx_qwen3_tts_voice_design_official_int8,model_card,https://qwen.ai/blog?id=qwen3tts-0115,2,voice_design;emotion_control,10,zh;en;ja;ko;de;fr;ru;pt;es;it,"{""voice_design"": ""--instruct natural-language voice description""}",No reference audio required for voice design.,"Use VoiceDesign artifact with native instruct text, not another model's control tokens.",reference_clone_base_only,high,2026-06-22
mlx_qwen3_tts,custom_voice_official_int8,mlx_qwen3_tts_custom_voice_official_int8,model_card,https://qwen.ai/blog?id=qwen3tts-0115,3,custom_voice;dialect;emotion_control,12,zh;en;ja;ko;de;fr;ru;pt;es;it;zh_beijing;zh_sichuan,"{""speaker"": ""--voice official preset""}",No external reference audio; use official preset voice identities.,Use CustomVoice artifact and official presets such as dylan/eric.,open_ended_voice_clone,high,2026-06-22
mlx_omnivoice,8bit_trim60,mlx_omnivoice_8bit_trim60,demo,https://zhu-han.github.io/omnivoice/,10,basic_tts;multilingual;dialect;voice_clone;cross_lingual_clone;voice_design;fine_grained_control;duration_control;paralinguistic_control;noise_robustness,14,zh;en;ja;ko;es;fr;de;ru;pt;it;vi;id;th;yue,"{""clone"": ""--prompt-audio --require-ref-text"", ""duration"": ""--duration"", ""instruction"": ""--instruct"", ""non_verbal"": ""inline control tokens such as [laughter]""}",Reference clone requires prompt audio and reference text; local Hindi is excluded after repeated bad outputs.,Use trimmed clean references and conservative duration/guidance for voice-design cases; duration and non-verbal control require direct generated-audio verification.,local_hindi_unstable,high,2026-06-22
mlx_dots_tts,full_int8_g64,mlx_dots_tts_full_int8_g64,demo,https://rednote-hilab.github.io/dots.tts-demo/,5,voice_clone;cross_lingual_clone;multilingual;style_transfer;emotion_prompt,24,ar;cs;de;el;en;es;fi;fr;hi;id;it;ja;ko;nl;pl;pt;ro;ru;th;tr;uk;vi;yue;zh,"{""clone"": ""--prompt-audio"", ""style"": ""prompt audio""}",Speaker/style modes require prompt audio; when transcript is absent prompt ASR can be disabled.,--qwen-variant int8_g64 --component-variant int8_g64.,no_no_reference_emotion_label,high,2026-06-22
mlx_higgs_audio,v3_4b,mlx_higgs_audio_v3_4b,docs,https://sgl-project.github.io/sglang-omni/cookbook/higgs_tts.html,9,basic_tts;multilingual;voice_clone;cross_lingual_clone;emotion_control;style_transfer;paralinguistic;singing_style;long_text,15,zh;en;ja;ko;es;fr;de;ru;pt;it;vi;id;ar;hi;sw,"{""tokens"": ""<|emotion:...|>, <|sfx:...|>, <|style:singing|>""}",Clone/style rows require clean reference audio.,Use inline Higgs control tokens only for Higgs rows.,,high,2026-06-22
mlx_scenema_audio,int8_mlx_mps_service,mlx_scenema_audio_int8_mlx_mps_service,demo,https://scenema.ai/audio,9,basic_tts;voice_design;emotion_control;action_tags;scene_sfx;singing_style;voice_clone;cross_lingual_clone;long_text,12,en;de;fr;es;it;pt;ja;zh;ko;ru;hi;sw,"{""clone"": ""reference audio with SeedVC unless skipped"", ""prompt"": ""performative prompt/raw XML/action tags""}","Zero-shot clone expects clean 10-20s reference; emotion should come from generation prompt, not copied reference.","pace=1.5, vc_steps=25, vc_cfg_rate=0.5, skip_vc=false, validate=false.",arabic_removed;vietnamese;local_chinese_dialects,high,2026-06-22
mlx_supertonic,supertonic3_mlx,mlx_supertonic3_mlx,local_docs,reports/model_capability_deep_research_20260613_zh.md,4,basic_tts;multilingual;long_text;fixed_voice_style,31,ar;bg;cs;da;de;el;en;es;et;fi;fr;hi;hr;hu;id;it;ja;ko;lt;lv;nl;pl;pt;ro;ru;sk;sl;sv;tr;uk;vi,"{""style"": ""fixed local MLX voice/style selection""}",No reference clone in current MLX artifact.,"Use MLX runtime, not old ONNX CPU rows.",speaker_clone;native_emotion_control,medium,2026-06-22
mlx_ming_omni_tts,16_8b_a3b_bf16,mlx_ming_omni_tts_16_8b_a3b_bf16,local_docs,reports/model_capability_deep_research_20260613_zh.md,7,basic_tts;voice_clone;dialect;emotion_control;voice_design;long_text;singing_style,4,zh;en;yue;zh_sichuan,"{""clone"": ""speaker embedding/reference"", ""style"": ""native project parameters""}",Clone rows must confirm speaker embedding/reference actually used.,Expose speaker_embedding_used in stdout for clone rows.,,medium,2026-06-22
mlx_zonos2,bf16,mlx_zonos2_bf16,local_docs,.skills-manager/skills/mlops/mlx-tts-evaluation/SKILL.md,6,basic_tts;voice_clone;multilingual;long_text;speaking_rate;prompt_style,3,en;en_us;en_gb,"{""quality"": ""quality buckets"", ""rate"": ""speaking_rate bucket"", ""style"": ""prompt prefix""}",Speaker cloning uses ref_audio or speaker_embedding; current evidence says English-only for formal language support.,Use model config discovered bucket ranges; no native emotion parameter.,native_emotion_parameter;non_english_formal_boundary,high,2026-06-22
mlx_moss_tts,local_transformer_v1_5,mlx_moss_tts_local_transformer_v1_5,local_docs,mlx-MOSS-TTS-Local-Transformer-v1.5/reports/capability_asr_report.md,8,basic_tts;multilingual;voice_clone;cross_lingual_clone;dialect;long_text;duration_control;pause_markup,15,zh;en;ja;ko;vi;yue;de;fr;es;it;pt;ru;hi;ar;sw,"{""clone"": ""reference audio"", ""dialect"": ""reference-driven clone where validated"", ""duration"": ""tokens/duration_tokens"", ""pause"": ""[pause Ns] inline markup""}",Cantonese clone uses valid Cantonese reference; emotion label removed from formal boundary.,Use native stdout real_time_factor for RTF.,emotion_label;singing_style,medium,2026-06-22
