backend,model,id,category,expected_text,asr_text,duration_s,char_len_expected,word_len_expected,cer,wer,similarity,ref_phrase_leak,repeat_rate,audio_path,asr_json
indextts2_vi,IndexTTS2 Vietnamese 8bit,vi_01_short_greeting,short_greeting,"Chào bạn, hôm nay bạn cảm thấy thế nào? Tôi hy vọng mọi việc đều ổn.","Chào bạn, hôm nay bạn cảm thấy thế nào? Tôi hy vọng mọi việc đều ổn.",5.526,50,16,0.0,0.0,1.0,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/indextts2_vi/0001_vi_01_short_greeting.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/indextts2_vi/0001_vi_01_short_greeting.json
indextts2_vi,IndexTTS2 Vietnamese 8bit,vi_02_tone_marks,tone_marks,"Tôi mua bưởi ở chợ, rồi gửi quà cho người bạn ở Huế trước khi trời đổ mưa.","Tôi mua bưởi ở chợ, rồi gửi quà cho người bạn ở Huế trước khi trời đổ mưa.",6.926,55,18,0.0,0.0,1.0,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/indextts2_vi/0002_vi_02_tone_marks.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/indextts2_vi/0002_vi_02_tone_marks.json
indextts2_vi,IndexTTS2 Vietnamese 8bit,vi_03_numbers_dates,numbers_dates_currency,"Cuộc họp bắt đầu lúc 9 giờ 15 phút ngày 16 tháng 5 năm 2026, chi phí dự kiến là 1.250.000 đồng.","Cuộc họp bắt đầu lúc nên giờ 15 phút ngày 16 tháng 5 năm 2020. Hay 6, chi phí dự kiến là on point. T-W-5, O-P-O-5-O-O-Đồng.",15.273,70,24,0.3143,0.625,0.8129,False,0.0294,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/indextts2_vi/0003_vi_03_numbers_dates.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/indextts2_vi/0003_vi_03_numbers_dates.json
indextts2_vi,IndexTTS2 Vietnamese 8bit,vi_04_punctuation_question,punctuation_question,"Xin lỗi, bạn có thể nói chậm hơn không? Tôi cần nghe rõ từng câu, từng ý, và từng con số.","Xin lỗi, bạn có thể nói chậm hơn không? Tôi cần nghe rõ từng câu, từng ý, từng ý, và từng con số.",11.558,64,21,0.0781,0.0952,0.9624,False,0.0435,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/indextts2_vi/0004_vi_04_punctuation_question.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/indextts2_vi/0004_vi_04_punctuation_question.json
indextts2_vi,IndexTTS2 Vietnamese 8bit,vi_05_medium_narration,medium_narration,"Buổi sáng ở thành phố bắt đầu bằng tiếng xe máy, mùi cà phê nóng và những cuộc trò chuyện rất nhỏ bên vỉa hè. Dù mọi người đều vội, ai cũng giữ cho mình một lý do để mỉm cười.","Buổi sáng ở thành phố bắt đầu bằng tiếng xe máy, mùi cà phê nóng và những cuộc trò chuyện rất nhỏ bên vỉa hè. Dù mọi người đều vội, ai cũng giữ cho mình một lý do để mỉm cười.",13.166,131,41,0.0,0.0,1.0,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/indextts2_vi/0005_vi_05_medium_narration.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/indextts2_vi/0005_vi_05_medium_narration.json
indextts2_vi,IndexTTS2 Vietnamese 8bit,vi_06_long_reflection,long_reflection,"Sáng nay, tôi thức dậy khi thành phố vẫn còn rất yên tĩnh. Ngoài cửa sổ, ánh nắng đầu tiên rơi xuống những mái nhà màu xám, còn trên con đường nhỏ, vài người bán hàng đã bắt đầu chuẩn bị cho một ngày mới. Tôi pha một tách cà phê, mở cuốn sổ cũ và viết lại những điều mình muốn làm trong tuần này. Có những việc rất nhỏ, như gọi điện hỏi thăm gia đình, sắp xếp lại góc làm việc, hoặc dành nửa giờ để đi bộ dưới hàng cây. Nhưng chính những việc nhỏ ấy giúp tôi cảm thấy cuộc sống chậm lại và rõ ràng hơn.","Sáng nay, tôi thức dậy khi thành phố vẫn còn rất yên tĩnh, ngoài cửa sổ. Ánh nắng đầu tiên rơi xuống những mái nhà màu xám, còn trên con đường nhỏ. Vài người bán hàng đã bắt đầu chuẩn bị cho một ngày mới. Tôi pha một tách cà phê, mở cuốn sổ cũ và viết lại những điều mình muốn làm trong tuần này. Có những việc rất nhỏ, như gọi điện hỏi thăm gia đình, sắp xếp lại góc làm việc hoặc dành nửa giờ để đi bộ dưới hàng cây. Nhưng chính những việc nhỏ ấy giúp tôi cảm thấy cuộc sống chậm lại và rõ rã, đàn hơn.",42.437,378,112,0.0079,0.0179,0.9908,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/indextts2_vi/0006_vi_06_long_reflection.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/indextts2_vi/0006_vi_06_long_reflection.json
qwen3_tts,Qwen3-TTS Base official int8,vi_01_short_greeting,short_greeting,"Chào bạn, hôm nay bạn cảm thấy thế nào? Tôi hy vọng mọi việc đều ổn.","Chào bạn, hôm nay bạn cảm thấy thế nào? Tôi hy vọng mọi việc đều ổn",4.72,50,16,0.0,0.0,1.0,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/qwen3_tts/segments/0001_vi_01_short_greeting.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/qwen3_tts/0001_vi_01_short_greeting.json
qwen3_tts,Qwen3-TTS Base official int8,vi_02_tone_marks,tone_marks,"Tôi mua bưởi ở chợ, rồi gửi quà cho người bạn ở Huế trước khi trời đổ mưa.",Tôi mua bưởi ở chợ rồi gửi quà cho người bạn ở Huế trước khi trời đổ mưa.,5.92,55,18,0.0,0.0,1.0,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/qwen3_tts/segments/0002_vi_02_tone_marks.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/qwen3_tts/0002_vi_02_tone_marks.json
qwen3_tts,Qwen3-TTS Base official int8,vi_03_numbers_dates,numbers_dates_currency,"Cuộc họp bắt đầu lúc 9 giờ 15 phút ngày 16 tháng 5 năm 2026, chi phí dự kiến là 1.250.000 đồng.","Cuộc họp bắt đầu lúc ngáo giờ sụp hốc phút ngày sụp hốc thẳng ngộ 5 để sụp hốc phùng. Chi phí dự kiến là ưu trục, ngãn hối phụng nư ngãn đồng.",8.96,70,24,0.8143,0.75,0.5763,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/qwen3_tts/segments/0003_vi_03_numbers_dates.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/qwen3_tts/0003_vi_03_numbers_dates.json
qwen3_tts,Qwen3-TTS Base official int8,vi_04_punctuation_question,punctuation_question,"Xin lỗi, bạn có thể nói chậm hơn không? Tôi cần nghe rõ từng câu, từng ý, và từng con số.","Xin lỗi, bạn có thể nói chậm hơn không? Tôi cần nghe rõ từng câu, từng ý và từng con số.",6.64,64,21,0.0,0.0,1.0,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/qwen3_tts/segments/0004_vi_04_punctuation_question.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/qwen3_tts/0004_vi_04_punctuation_question.json
qwen3_tts,Qwen3-TTS Base official int8,vi_05_medium_narration,medium_narration,"Buổi sáng ở thành phố bắt đầu bằng tiếng xe máy, mùi cà phê nóng và những cuộc trò chuyện rất nhỏ bên vỉa hè. Dù mọi người đều vội, ai cũng giữ cho mình một lý do để mỉm cười.","Buổi sáng ở thành phố bắt đầu bằng tiếng xe máy, mùi cà phê nóng và những cuộc trò chuyện rất nhỏ bên vỉa hè. Dù mọi người đều vội, ai cũng giữ cho mình một lý do để mỉm cười.",11.76,131,41,0.0,0.0,1.0,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/qwen3_tts/segments/0005_vi_05_medium_narration.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/qwen3_tts/0005_vi_05_medium_narration.json
qwen3_tts,Qwen3-TTS Base official int8,vi_06_long_reflection,long_reflection,"Sáng nay, tôi thức dậy khi thành phố vẫn còn rất yên tĩnh. Ngoài cửa sổ, ánh nắng đầu tiên rơi xuống những mái nhà màu xám, còn trên con đường nhỏ, vài người bán hàng đã bắt đầu chuẩn bị cho một ngày mới. Tôi pha một tách cà phê, mở cuốn sổ cũ và viết lại những điều mình muốn làm trong tuần này. Có những việc rất nhỏ, như gọi điện hỏi thăm gia đình, sắp xếp lại góc làm việc, hoặc dành nửa giờ để đi bộ dưới hàng cây. Nhưng chính những việc nhỏ ấy giúp tôi cảm thấy cuộc sống chậm lại và rõ ràng hơn.","Sáng nay, tôi thức dậy khi thành phố vẫn còn rất yên tĩnh. Ngoài cửa sổ, ánh nắng đầu tiên rơi xuống những mái nhà màu xám. Còn trên con đường nhỏ, vài người bán hàng đã bắt đầu chuẩn bị cho một ngày mới. Tôi pha một tách cà phê, mở cuốn sổ cũ và viết lại những điều mình muốn làm trong tuần này. Có những việc rất nhỏ như gọi điện hỏi thăm gia đình, sắp xếp lại góc làm việc, hoặc dành nửa giờ để đi bộ dưới hàng cây. Nhưng chính những việc nhỏ ấy giúp tôi cảm thấy cuộc sống chậm lại và rõ ràng hơn.",29.04,378,112,0.0,0.0,1.0,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/qwen3_tts/segments/0006_vi_06_long_reflection.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/qwen3_tts/0006_vi_06_long_reflection.json
omnivoice,OmniVoice 8bit,vi_01_short_greeting,short_greeting,"Chào bạn, hôm nay bạn cảm thấy thế nào? Tôi hy vọng mọi việc đều ổn.","Chào bạn, hôm nay bạn cảm thấy thế nào? Tôi hy vọng mọi việc đều ổn.",8.64,50,16,0.0,0.0,1.0,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/omnivoice/0001_vi_01_short_greeting.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/omnivoice/0001_vi_01_short_greeting.json
omnivoice,OmniVoice 8bit,vi_02_tone_marks,tone_marks,"Tôi mua bưởi ở chợ, rồi gửi quà cho người bạn ở Huế trước khi trời đổ mưa.","Tôi mua bưởi ở chợ, rồi gửi quà cho người bạn ở Huế trước khi trời đổ mưa",9.275,55,18,0.0,0.0,1.0,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/omnivoice/0002_vi_02_tone_marks.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/omnivoice/0002_vi_02_tone_marks.json
omnivoice,OmniVoice 8bit,vi_03_numbers_dates,numbers_dates_currency,"Cuộc họp bắt đầu lúc 9 giờ 15 phút ngày 16 tháng 5 năm 2026, chi phí dự kiến là 1.250.000 đồng.",Cuộc họp 3 đầu lúc 9h15 phút ngày 16 tháng 5 năm 2026. Chi phí dự kiến là 1.000 nhến 250.000 đồng.,16.68,70,24,0.1857,0.25,0.8951,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/omnivoice/0003_vi_03_numbers_dates.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/omnivoice/0003_vi_03_numbers_dates.json
omnivoice,OmniVoice 8bit,vi_04_punctuation_question,punctuation_question,"Xin lỗi, bạn có thể nói chậm hơn không? Tôi cần nghe rõ từng câu, từng ý, và từng con số.","Xin lỗi, bạn có thể nói chậm hơn không? Tôi cần nghe rõ từng câu, từng ý và từng con số.",10.72,64,21,0.0,0.0,1.0,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/omnivoice/0004_vi_04_punctuation_question.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/omnivoice/0004_vi_04_punctuation_question.json
omnivoice,OmniVoice 8bit,vi_05_medium_narration,medium_narration,"Buổi sáng ở thành phố bắt đầu bằng tiếng xe máy, mùi cà phê nóng và những cuộc trò chuyện rất nhỏ bên vỉa hè. Dù mọi người đều vội, ai cũng giữ cho mình một lý do để mỉm cười.","Bữa sáng ở thành phố bắt đầu bằng tiếng xe máy, mùi cà phê nóng và những cuộc trò chuyện rất nhỏ bên vỉa hè. Dù mọi người đều vội, ai cũng giữ cho mình một lý do để mỉm cười.",21.965,131,41,0.0229,0.0244,0.9808,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/omnivoice/0005_vi_05_medium_narration.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/omnivoice/0005_vi_05_medium_narration.json
omnivoice,OmniVoice 8bit,vi_06_long_reflection,long_reflection,"Sáng nay, tôi thức dậy khi thành phố vẫn còn rất yên tĩnh. Ngoài cửa sổ, ánh nắng đầu tiên rơi xuống những mái nhà màu xám, còn trên con đường nhỏ, vài người bán hàng đã bắt đầu chuẩn bị cho một ngày mới. Tôi pha một tách cà phê, mở cuốn sổ cũ và viết lại những điều mình muốn làm trong tuần này. Có những việc rất nhỏ, như gọi điện hỏi thăm gia đình, sắp xếp lại góc làm việc, hoặc dành nửa giờ để đi bộ dưới hàng cây. Nhưng chính những việc nhỏ ấy giúp tôi cảm thấy cuộc sống chậm lại và rõ ràng hơn.","Sáng nay tôi thức dậy khi thành phố vẫn còn rất yên tĩnh Ngoài cửa sổ, ánh nắng đầu tiên rơi xuống những mái nhà màu xám Còn trên con đường nhỏ, vài người bán hàng đã bắt đầu chuẩn bị cho một ngày mới Tôi pha một tách cà phê, mở cuốn sổ cũ, và viết lại những điều mình muốn làm trong tuần này Có những việc rất nhỏ, như gọi điện hỏi thăm gia đình, sắp xếp lại góc làm việc Hoặc dành nửa giờ để đi bộ dưới hàng cây Nhưng chính những việc nhỏ ấy giúp tôi cảm thấy cuộc sống chậm lại và rõ ràng hơn Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn",58.166,378,112,1.0185,0.9375,0.6626,False,0.0,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/omnivoice/0006_vi_06_long_reflection.wav,/Users/vanch/tts_benchmarks/vietnamese_clone_deep_compare_20260516_110254/asr_mlx_whisper_large_v3_turbo/omnivoice/0006_vi_06_long_reflection.json
